day,int_col,multiplier
1,0,1
2,0,1.00268
3,0,1.005367182
4,0,1.008061566
5,0,1.010763171
6,0,1.013472017
7,0,1.016188122
8,0,1.018911506
9,0,1.021642189
10,0,1.02438019
11,0,1.027125529
12,0,1.029878225
13,0,1.032638299
14,0,1.035405769
15,0,1.038180657
16,0,1.040962981
17,0,1.043752762
18,0,1.046550019
19,0,1.049354773
20,0,1.052167044
21,0,1.054986852
22,0,1.057814217
23,0,1.060649159
24,0,1.063491698
25,0,1.066341856
26,0,1.069199652
27,0,1.072065107
28,0,1.074938242
29,0,1.077819076
30,3,4.080707631
31,3,4.083603928
32,3,4.086507986
33,3,4.089419828
34,3,4.092339473
35,3,4.095266943
36,3,4.098202258
37,3,4.10114544
38,3,4.10409651
39,3,4.107055489
40,3,4.110022397
41,3,4.112997257
42,3,4.11598009
43,3,4.118970917
44,3,4.121969759
45,3,4.124976638
46,3,4.127991575
47,3,4.131014593
48,3,4.134045712
49,3,4.137084954
50,3,4.140132342
51,3,4.143187896
52,3,4.14625164
53,3,4.149323594
54,3,4.152403782
55,3,4.155492224
56,3,4.158588943
57,3,4.161693961
58,3,4.164807301
59,3,4.167928985
60,3,4.171059034
61,3,4.174197473
62,3,4.177344322
63,3,4.180499605
64,3,4.183663344
65,3,4.186835561
66,3,4.190016281
67,3,4.193205524
68,3,4.196403315
69,3,4.199609676
70,3,4.20282463
71,3,4.2060482
72,3,4.209280409
73,3,4.212521281
74,3,4.215770838
75,3,4.219029103
76,3,4.222296101
77,3,4.225571855
78,3,4.228856388
79,3,4.232149723
80,3,4.235451884
81,3,4.238762895
82,3,4.24208278
83,3,4.245411561
84,3,4.248749264
85,3,4.252095912
86,3,4.255451529
87,3,4.25881614
88,3,4.262189767
89,3,4.265572435
90,8,9.518964169
91,8,9.523034993
92,8,9.527116727
93,8,9.5312094
94,8,9.535313041
95,8,9.53942768
96,8,9.543553346
97,8,9.547690069
98,8,9.551837879
99,8,9.555996804
100,8,9.560166876
101,8,9.564348123
102,8,9.568540576
103,8,9.572744265
104,8,9.576959219
105,8,9.58118547
106,8,9.585423047
107,8,9.589671981
108,8,9.593932302
109,8,9.59820404
110,8,9.602487227
111,8,9.606781893
112,8,9.611088068
113,8,9.615405784
114,8,9.619735072
115,8,9.624075962
116,8,9.628428485
117,8,9.632792674
118,8,9.637168558
119,8,9.64155617
120,8,9.64595554
121,8,9.650366701
122,8,9.654789684
123,8,9.65922452
124,8,9.663671242
125,8,9.668129881
126,8,9.672600469
127,8,9.677083038
128,8,9.681577621
129,8,9.686084249
130,8,9.690602955
131,8,9.695133771
132,8,9.699676729
133,8,9.704231863
134,8,9.708799204
135,8,9.713378786
136,8,9.717970641
137,8,9.722574803
138,8,9.727191303
139,8,9.731820176
140,8,9.736461454
141,8,9.74111517
142,8,9.745781359
143,8,9.750460053
144,8,9.755151286
145,8,9.759855092
146,8,9.764571503
147,8,9.769300555
148,8,9.77404228
149,8,9.778796714
150,8,9.783563889
151,8,9.78834384
152,8,9.793136602
153,8,9.797942208
154,8,9.802760693
155,8,9.807592091
156,8,9.812436438
157,8,9.817293768
158,8,9.822164115
159,8,9.827047515
160,8,9.831944002
161,8,9.836853612
162,8,9.84177638
163,8,9.846712341
164,8,9.85166153
165,8,9.856623983
166,8,9.861599735
167,8,9.866588822
168,8,9.87159128
169,8,9.876607145
170,8,9.881636452
171,8,9.886679238
172,8,9.891735538
173,8,9.896805389
174,8,9.901888828
175,8,9.90698589
176,8,9.912096612
177,8,9.917221031
178,8,9.922359183
179,8,9.927511106
180,14,16.432676836
181,14,16.43919641
182,14,16.445733456
183,14,16.452288022
184,14,16.458860153
185,14,16.465449899
186,14,16.472057304
187,14,16.478682418
188,14,16.485325287
189,14,16.491985959
190,14,16.498664481
191,14,16.505360902
192,14,16.512075269
193,14,16.518807631
194,14,16.525558035
195,14,16.532326531
196,14,16.539113166
197,14,16.545917989
198,14,16.552741049
199,14,16.559582395
200,14,16.566442076
201,14,16.573320141
202,14,16.580216639
203,14,16.587131619
204,14,16.594065132
205,14,16.601017227
206,14,16.607987953
207,14,16.614977361
208,14,16.6219855
209,14,16.629012421
210,14,16.636058174
211,14,16.64312281
212,14,16.650206379
213,14,16.657308933
214,14,16.66443052
215,14,16.671571194
216,14,16.678731005
217,14,16.685910004
218,14,16.693108243
219,14,16.700325773
220,14,16.707562646
221,14,16.714818914
222,14,16.722094629
223,14,16.729389842
224,14,16.736704607
225,14,16.744038975
226,14,16.751393
227,14,16.758766733
228,14,16.766160228
229,14,16.773573537
230,14,16.781006714
231,14,16.788459812
232,14,16.795932885
233,14,16.803425985
234,14,16.810939167
235,14,16.818472484
236,14,16.82602599
237,14,16.833599739
238,14,16.841193787
239,14,16.848808186
240,14,16.856442992
241,14,16.864098259
242,14,16.871774043
243,14,16.879470397
244,14,16.887187378
245,14,16.89492504
246,14,16.902683439
247,14,16.910462631
248,14,16.91826267
249,14,16.926083614
250,14,16.933925518
251,14,16.941788439
252,14,16.949672432
253,14,16.957577554
254,14,16.965503862
255,14,16.973451412
256,14,16.981420262
257,14,16.989410468
258,14,16.997422088
259,14,17.00545518
260,14,17.013509799
261,14,17.021586006
262,14,17.029683856
263,14,17.037803409
264,14,17.045944722
265,14,17.054107854
266,14,17.062292863
267,14,17.070499808
268,14,17.078728747
269,14,17.08697974
270,14,17.095252846
271,14,17.103548124
272,14,17.111865633
273,14,17.120205433
274,14,17.128567583
275,14,17.136952144
276,14,17.145359176
277,14,17.153788739
278,14,17.162240892
279,14,17.170715698
280,14,17.179213216
281,14,17.187733507
282,14,17.196276633
283,14,17.204842655
284,14,17.213431633
285,14,17.22204363
286,14,17.230678707
287,14,17.239336926
288,14,17.248018349
289,14,17.256723038
290,14,17.265451055
291,14,17.274202464
292,14,17.282977327
293,14,17.291775706
294,14,17.300597665
295,14,17.309443267
296,14,17.318312575
297,14,17.327205652
298,14,17.336122564
299,14,17.345063372
300,14,17.354028142
301,14,17.363016937
302,14,17.372029823
303,14,17.381066863
304,14,17.390128122
305,14,17.399213665
306,14,17.408323558
307,14,17.417457865
308,14,17.426616652
309,14,17.435799985
310,14,17.445007929
311,14,17.45424055
312,14,17.463497914
313,14,17.472780089
314,14,17.48208714
315,14,17.491419133
316,14,17.500776136
317,14,17.510158216
318,14,17.51956544
319,14,17.528997876
320,14,17.53845559
321,14,17.547938651
322,14,17.557447127
323,14,17.566981085
324,14,17.576540594
325,14,17.586125723
326,14,17.59573654
327,14,17.605373114
328,14,17.615035514
329,14,17.624723809
330,14,17.634438069
331,14,17.644178363
332,14,17.653944761
333,14,17.663737333
334,14,17.673556149
335,14,17.683401279
336,14,17.693272795
337,14,17.703170766
338,14,17.713095264
339,14,17.723046359
340,14,17.733024123
341,14,17.743028628
342,14,17.753059944
343,14,17.763118145
344,14,17.773203302
345,14,17.783315487
346,14,17.793454772
347,14,17.803621231
348,14,17.813814936
349,14,17.82403596
350,14,17.834284376
351,14,17.844560258
352,14,17.85486368
353,14,17.865194714
354,14,17.875553436
355,14,17.88593992
356,14,17.896354239
357,14,17.906796468
358,14,17.917266682
359,14,17.927764957
360,21,25.938291367
361,21,25.951525988
362,21,25.964796078
363,21,25.978101731
364,21,25.991443044
365,21,26.004820111
366,21,26.018233029
367,21,26.031681894
368,21,26.045166801
369,21,26.058687848
370,21,26.072245132
371,21,26.085838749
372,21,26.099468796
373,21,26.113135373
374,21,26.126838576
375,21,26.140578503
376,21,26.154355253
377,21,26.168168925
378,21,26.182019618
379,21,26.195907431
380,21,26.209832463
381,21,26.223794814
382,21,26.237794584
383,21,26.251831873
384,21,26.265906783
385,21,26.280019413
386,21,26.294169865
387,21,26.30835824
388,21,26.32258464
389,21,26.336849167
390,21,26.351151923
391,21,26.36549301
392,21,26.379872531
393,21,26.39429059
394,21,26.408747288
395,21,26.423242731
396,21,26.437777022
397,21,26.452350264
398,21,26.466962563
399,21,26.481614022
400,21,26.496304748
401,21,26.511034845
402,21,26.525804418
403,21,26.540613574
404,21,26.555462418
405,21,26.570351058
406,21,26.585279598
407,21,26.600248148
408,21,26.615256813
409,21,26.630305701
410,21,26.64539492
411,21,26.660524579
412,21,26.675694785
413,21,26.690905647
414,21,26.706157274
415,21,26.721449775
416,21,26.736783261
417,21,26.75215784
418,21,26.767573623
419,21,26.78303072
420,21,26.798529242
421,21,26.814069301
422,21,26.829651006
423,21,26.845274471
424,21,26.860939807
425,21,26.876647125
426,21,26.89239654
427,21,26.908188162
428,21,26.924022107
429,21,26.939898486
430,21,26.955817414
431,21,26.971779005
432,21,26.987783372
433,21,27.003830632
434,21,27.019920898
435,21,27.036054286
436,21,27.052230911
437,21,27.06845089
438,21,27.084714339
439,21,27.101021373
440,21,27.11737211
441,21,27.133766668
442,21,27.150205162
443,21,27.166687712
444,21,27.183214435
445,21,27.19978545
446,21,27.216400875
447,21,27.233060829
448,21,27.249765432
449,21,27.266514804
450,21,27.283309063
451,21,27.300148331
452,21,27.317032729
453,21,27.333962377
454,21,27.350937396
455,21,27.367957908
456,21,27.385024035
457,21,27.4021359
458,21,27.419293624
459,21,27.436497331
460,21,27.453747144
461,21,27.471043186
462,21,27.488385582
463,21,27.505774455
464,21,27.523209931
465,21,27.540692133
466,21,27.558221188
467,21,27.575797221
468,21,27.593420358
469,21,27.611090724
470,21,27.628808447
471,21,27.646573654
472,21,27.664386471
473,21,27.682247027
474,21,27.700155449
475,21,27.718111866
476,21,27.736116405
477,21,27.754169197
478,21,27.772270371
479,21,27.790420055
480,21,27.808618381
481,21,27.826865478
482,21,27.845161478
483,21,27.863506511
484,21,27.881900708
485,21,27.900344202
486,21,27.918837125
487,21,27.937379608
488,21,27.955971785
489,21,27.97461379
490,21,27.993305755
491,21,28.012047814
492,21,28.030840102
493,21,28.049682754
494,21,28.068575904
495,21,28.087519687
496,21,28.10651424
497,21,28.125559698
498,21,28.144656198
499,21,28.163803876
500,21,28.183002871
501,21,28.202253319
502,21,28.221555357
503,21,28.240909126
504,21,28.260314762
505,21,28.279772406
506,21,28.299282196
507,21,28.318844272
508,21,28.338458775
509,21,28.358125844
510,21,28.377845622
511,21,28.397618248
512,21,28.417443865
513,21,28.437322614
514,21,28.457254639
515,21,28.477240081
516,21,28.497279085
517,21,28.517371793
518,21,28.537518349
519,21,28.557718898
520,21,28.577973585
521,21,28.598282554
522,21,28.618645951
523,21,28.639063923
524,21,28.659536614
525,21,28.680064172
526,21,28.700646744
527,21,28.721284477
528,21,28.74197752
529,21,28.762726019
